Year,ID,Test Code,County Code,County Name,District Code,District Name,School Code,School Name,DFG,Subgroup,Subgroup Type,Registered To Test,Not Tested,Valid Scores,Mean Scale Score,L1 Percent,L2 Percent,L3 Percent,L4 Percent,L5 Percent
2019,9,ALG01,01,Atlantic,0010,Absecon City,,District Total,,Total,All Students,*,*,20,772,0,10,5,80,5
2019,91,ALG01,01,Atlantic,0110,Atlantic City,,District Total,,Total,All Students,509,50,459,722,20.5,43.8,17.4,14.8,3.5
2019,124,ALG01,01,Atlantic,0120,Atlantic Co Vocational,,District Total,,Total,All Students,*,*,365,731,7.4,37.5,32.9,22.2,0
2019,151,ALG01,01,Atlantic,0570,Brigantine City,,District Total,,Total,All Students,*,*,20,759,0,5,25,70,0
2019,189,ALG01,01,Atlantic,0590,Buena Regional,,District Total,,Total,All Students,*,*,156,727,13.5,36.5,26.9,22.4,.6
2019,218,ALG01,01,Atlantic,1300,Egg Harbor City,,District Total,,Total,All Students,*,*,17,742,0,5.9,64.7,29.4,0
2019,277,ALG01,01,Atlantic,1310,Egg Harbor Twp,,District Total,,Total,All Students,575,12,563,747,7.1,22.7,19.9,46.5,3.7
2019,306,ALG01,01,Atlantic,1410,Estell Manor City,,District Total,,Total,All Students,*,*,*,*,*,*,*,*,*
2019,324,ALG01,01,Atlantic,1540,Folsom Boro,,District Total,,Total,All Students,*,*,18,753,0,5.6,33.3,61.1,0
2019,349,ALG01,01,Atlantic,1690,Galloway Twp,,District Total,,Total,All Students,*,*,84,787,0,0,4.8,82.1,13.1
2019,417,ALG01,01,Atlantic,1790,Greater Egg Harbor Reg,,District Total,,Total,All Students,*,*,665,729,11.6,34.1,33.4,20.8,.2
2019,453,ALG01,01,Atlantic,1940,Hamilton Twp,,District Total,,Total,All Students,*,*,78,779,0,1.3,7.7,78.2,12.8
2019,499,ALG01,01,Atlantic,1960,Hammonton Town,,District Total,,Total,All Students,355,12,343,739,10.5,28,24.5,34.4,2.6
2019,528,ALG01,01,Atlantic,2680,Linwood City,,District Total,,Total,All Students,*,*,47,793,0,0,4.3,59.6,36.2
2019,556,ALG01,01,Atlantic,2910,Mainland Regional,,District Total,,Total,All Students,*,*,190,736,8.4,27.9,30.5,33.2,0
2019,582,ALG01,01,Atlantic,3020,Margate City,,District Total,,Total,All Students,*,*,22,797,0,0,0,72.7,27.3
2019,601,ALG01,01,Atlantic,3480,Mullica Twp,,District Total,,Total,All Students,*,*,24,751,4.2,8.3,37.5,50,0
2019,622,ALG01,01,Atlantic,3720,Northfield City,,District Total,,Total,All Students,*,*,44,778,0,0,6.8,86.4,6.8
2019,662,ALG01,01,Atlantic,4180,Pleasantville City,,District Total,,Total,All Students,*,*,246,718,25.2,44.7,12.2,16.3,1.6
2019,695,ALG01,01,Atlantic,4800,Somers Point City,,District Total,,Total,All Students,*,*,24,761,0,16.7,12.5,66.7,4.2
2019,718,ALG01,01,Atlantic,5350,Ventnor City,,District Total,,Total,All Students,*,*,22,781,0,0,4.5,72.7,22.7
2019,743,ALG01,03,Bergen,0040,Allendale Boro,,District Total,,Total,All Students,*,*,82,811,0,0,0,48.8,51.2
2019,769,ALG01,03,Bergen,0080,Alpine Boro,,District Total,,Total,All Students,*,*,10,797,0,0,10,60,30
2019,803,ALG01,03,Bergen,0290,Bergen County Vocational,,District Total,,Total,All Students,*,*,87,759,3.4,9.2,29.9,54,3.4
2019,847,ALG01,03,Bergen,0300,Bergenfield Boro,,District Total,,Total,All Students,*,*,311,744,6.4,23.2,25.7,44.1,.6
